,Wind Onshore,Wind Offshore,Solar,Hydro
94,880795.4678526314,15075367.129919246,0.0,60357.0
95,771487.8561157894,13140831.023491502,0.0,60711.0
96,710812.0889210529,10786432.351338001,0.0,59029.5
97,713627.165668421,8491462.134781498,0.0,52303.5
98,644672.3739473681,7225951.232272501,0.0,48763.5
99,632599.0136052631,6994668.386963248,0.0,48055.5
100,660429.8741526313,5515428.691662749,0.0,46993.5
101,666025.6402578946,5494372.9302105,0.0,52392.0
102,670225.8514736843,6046117.231470751,0.0,57348.0
103,692800.9121526314,6231683.85350175,0.0,66198.0
104,674990.8495105266,4525755.2101125,247.6153846153846,77437.5
105,690411.7701157894,3775958.3711744994,4264.961538461538,98589.0
106,697862.3711684211,4794675.43859325,10801.153846153846,98854.5
107,684648.7562526317,5348395.73839725,16095.0,83101.5
