,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2
1503,50122040.05639491,43065180.20452164,32573950.20452164,32573950.20452164,0
1504,51533834.91485767,44815651.56985732,34324421.56985732,34324421.56985732,0
1505,53352192.86264237,46811370.13351016,36320140.13351016,36320140.13351016,0
1506,54644374.80626743,48431446.98289143,37940216.98289143,37940216.98289143,0
1507,52876157.62581367,47041835.772009924,36550605.772009924,36550605.772009924,0
1508,49848380.205781475,44724431.76131247,34233201.76131247,34233201.76131247,0
1509,45825640.812326886,41365902.220993385,30874672.220993385,30874672.220993385,0
1510,41556426.32163105,36835703.21051455,26344473.210514553,26344473.210514553,0
1511,38210889.339959405,33295612.238585904,22804382.238585904,22804382.238585904,0
1512,38659135.717785396,33691601.442063645,23200371.442063645,23200371.442063645,0
1513,39075968.602825746,33981637.13020725,23490407.130207248,23490407.130207248,0
1514,38212701.65685088,33016347.65265813,22525117.65265813,22525117.65265813,0
1515,37791035.92676658,32550818.64228808,22059588.64228808,22059588.64228808,0
1516,37804930.35626794,32468681.050779685,21977451.050779685,21977451.050779685,0
1517,39141816.11654951,33821236.903298505,23330006.903298505,23330006.903298505,0
1518,44024197.822196,38940987.41840721,28449757.41840721,28449757.41840721,0
1519,50468796.68829806,45360725.41668637,34869495.41668637,34869495.41668637,0
1520,53002415.702586755,47800388.01041926,37309158.01041926,37309158.01041926,0
1521,54303659.23066923,48865352.73840661,38374122.73840661,38374122.73840661,0
1522,54619002.369786724,48943449.29376957,38452219.29376957,38452219.29376957,0
1523,54900515.59359656,49287087.36988912,38795857.36988912,38795857.36988912,0
1524,55230357.267845884,49706027.83297729,39214797.83297729,39214797.83297729,0
1525,55240022.95793378,49937332.089458935,39446102.089458935,39446102.089458935,0
1526,54218480.3367697,49704792.4922742,39213562.4922742,39213562.4922742,0
1527,54090409.94310512,49885263.40536598,39394033.40536598,39394033.40536598,0
1528,55822380.78572929,51448196.23880819,40956966.23880819,40956966.23880819,0
1529,57846738.75351218,52859388.49645965,42368158.49645965,42368158.49645965,0
1530,59315923.64687177,52819487.931727536,42328257.931727536,42328257.931727536,0
1531,56774451.25938667,48840063.81488781,38348833.81488781,38348833.81488781,0
1532,52534837.94458498,44211603.65366748,33720373.65366748,33720373.65366748,0
1533,47466995.81037706,39477013.70627631,28985783.706276312,28985783.706276312,0
1534,41727992.32069113,33650825.30575188,23159595.305751882,23159595.305751882,0
1535,36856484.516393535,28817290.091831036,18326060.091831036,18326060.091831036,0
1536,37129540.26137648,28968266.189424727,18477036.189424727,18477036.189424727,0
1537,37440654.661080495,29667884.669028245,19176654.669028245,19176654.669028245,0
1538,36582220.56014958,29338014.90846733,18846784.90846733,18846784.90846733,0
1539,35896560.66953974,29037503.409777492,18546273.409777492,18546273.409777492,0
1540,35462208.721215084,29007993.186428335,18516763.186428335,18516763.186428335,0
1541,37014760.19158277,30501853.571604267,20010623.571604267,20010623.571604267,0
1542,42142408.78320951,35541590.405784205,25050360.405784205,25050360.405784205,0
1543,48655875.69118777,41787490.052723385,31296260.052723385,31296260.052723385,0
1544,51782122.328990385,45094959.397412404,34603729.397412404,34603729.397412404,0
1545,53227142.99713026,46763439.65875213,36272209.65875213,36272209.65875213,0
1546,53502615.16463519,46910786.67770252,36419556.67770252,36419556.67770252,0
1547,53323799.89800918,46859523.37187224,36368293.37187224,36368293.37187224,0
1548,53398104.890559874,47253017.04159674,36761787.04159674,36761787.04159674,0
1549,53801043.34609886,47794626.78392603,37303396.78392603,37303396.78392603,0
1550,53145588.737013675,47929071.757779256,37437841.757779256,37437841.757779256,0
1551,52992750.01249888,48636258.594296224,38145028.594296224,38145028.594296224,0
1552,54393670.96961274,50585608.51069255,40094378.51069255,40094378.51069255,0
1553,56538245.95786379,53453897.432157636,42962667.432157636,42962667.432157636,0
1554,58688257.89678929,55771376.73684833,45280146.73684833,45280146.73684833,0
1555,57237196.172344476,54497064.34198786,44005834.34198786,44005834.34198786,0
1556,53997377.67600916,51678129.40203566,41186899.40203566,41186899.40203566,0
1557,49206215.92056714,47054288.09632389,36563058.09632389,36563058.09632389,0
1558,43426133.248007685,41337554.10018544,30846324.10018544,30846324.10018544,0
1559,38432596.10635043,36309000.70650793,25817770.70650793,25817770.70650793,0
1560,38270091.69174773,36027970.14953898,25536740.14953898,25536740.14953898,0
1561,38687528.68241857,36488262.02959982,25997032.029599823,25997032.029599823,0
