,Nuclear,Biomass,BECCS,CCGT,OCGT,Coal
93,8219070.0,7552160.0,440000.0,14022928.52852773,0.0,0.0
94,8219070.0,7552160.0,440000.0,11768731.415959034,0.0,0.0
95,8219070.0,7552160.0,440000.0,10205577.16681156,0.0,0.0
96,8219070.0,7552160.0,440000.0,12360026.090523697,0.0,0.0
97,8219070.0,7552160.0,440000.0,13141378.056519534,0.0,0.0
98,8219070.0,7552160.0,440000.0,13049705.163055116,0.0,0.0
99,8219070.0,7552160.0,440000.0,12543438.365313947,0.0,0.0
100,8219070.0,7552160.0,440000.0,12877323.845369957,0.0,0.0
101,8219070.0,7552160.0,440000.0,13803948.271157142,0.0,0.0
102,8219070.0,7552160.0,440000.0,16209110.439854214,0.0,0.0
103,8219070.0,7552160.0,440000.0,21493484.245658733,0.0,0.0
104,8219070.0,7552160.0,440000.0,23883640.84999999,1238658.023901053,0.0
105,8219070.0,7552160.0,440000.0,23883640.84999999,3127420.0596085098,0.0
106,8219070.0,7552160.0,440000.0,23883640.84999999,3388673.1579341465,0.0
107,8219070.0,7552160.0,440000.0,23883640.84999999,3727901.049839461,0.0
108,8219070.0,7552160.0,440000.0,23883640.84999999,3775700.1677183937,0.0
109,8219070.0,7552160.0,440000.0,23883640.84999999,2799234.0998263145,0.0
110,8219070.0,7552160.0,440000.0,23883640.84999999,2104173.3771694843,0.0
111,8219070.0,7552160.0,440000.0,23883640.84999999,1806917.6441066745,0.0
112,8219070.0,7552160.0,440000.0,23883640.84999999,3494624.367778329,0.0
113,8219070.0,7552160.0,440000.0,23883640.84999999,4964073.424920857,0.0
114,8219070.0,7552160.0,440000.0,23883640.84999999,3985691.516918568,0.0
115,8219070.0,7552160.0,440000.0,23883640.84999999,2232736.2888351376,0.0
116,8219070.0,7552160.0,440000.0,23883640.84999999,318890.4532794408,0.0
117,8219070.0,7552160.0,440000.0,21481462.93109257,0.0,0.0
118,8219070.0,7552160.0,440000.0,18230667.26018431,0.0,0.0
119,8219070.0,7552160.0,440000.0,15380725.799451297,0.0,0.0
120,8219070.0,7552160.0,440000.0,13027989.387375677,0.0,0.0
121,8219070.0,7552160.0,440000.0,12288303.408526363,0.0,0.0
122,8219070.0,7552160.0,440000.0,11487976.596816907,0.0,0.0
123,8219070.0,7552160.0,440000.0,10938688.898381272,0.0,0.0
124,8219070.0,7552160.0,440000.0,9834004.401067622,0.0,0.0
125,8219070.0,7552160.0,440000.0,9036901.756302599,0.0,0.0
