,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2,Curtailement,Loss of load
25,32002957.5978162,16063947.259751884,0.0,2316325.6794584068,0,0.0,0.0
26,31466063.512283895,16387979.133681158,0.0,2316325.6794584068,0,0.0,0.0
27,31436734.849863507,18048279.632037587,262389.63203758746,2524338.0814620703,0,0.0,0.0
28,31217667.697907187,18644184.54771932,858294.5477193184,2996748.564735247,0,0.0,0.0
29,32084958.143767055,20435995.231728923,2650105.2317289226,4417227.115744734,0,0.0,0.0
30,35718719.56323931,23679075.90675176,5893185.906751759,6988216.662338274,0,0.0,0.0
31,40812928.662420385,29523922.588546276,11738032.588546276,11607761.787065806,0,0.0,0.0
32,44727407.27934485,32795793.263260685,15009903.263260685,14119960.95306331,0,0.0,0.0
33,48094218.016378514,34967726.79772396,17181836.797723956,15787609.266931,0,0.0,0.0
34,49737221.65605095,37546513.55143236,19760623.551432364,17767646.55325106,0,0.0,0.0
35,50534482.43858052,37595418.57042277,19809528.57042277,17805196.676753897,0,0.0,0.0
36,51240764.5131938,35755382.36039672,17969492.36039672,16392384.89664398,0,0.0,0.0
37,51034266.787989065,34189775.511115864,16403885.511115864,15190284.74903144,0,0.0,0.0
38,50248976.88808007,32435667.087109815,14649777.087109815,13843449.816369606,0,0.0,0.0
39,50616482.98453138,32632451.41608407,14846561.41608407,13994544.24407759,0,0.0,0.0
40,53406297.17925384,38143024.74888053,20357134.748880528,18225658.21744017,0,0.0,0.0
41,55213900.45495904,39221101.74772416,21435211.74772416,19053424.473089162,0,0.0,0.0
42,53960549.04458599,38253519.70099122,20467629.70099122,18310498.161966287,0,0.0,0.0
43,50936704.094631486,34594320.40453127,16808430.40453127,16264898.94325886,0,0.0,0.0
44,47019232.757051855,29851395.307741277,12065505.307741277,12065505.307741277,0,0.0,0.0
45,42168631.11919928,24606713.59744073,6820823.597440731,7723612.122634901,0,0.0,0.0
46,36941545.22292994,20506654.08174744,2720764.0817474388,4473242.732676817,0,0.0,0.0
47,32976788.898999088,16902002.828364324,0.0,2316325.6794584068,0,0.0,0.0
48,32292652.95723385,16215367.030967668,0.0,2148028.0080002043,0,0.0,0.0
49,31868883.712465875,15803763.137562558,0.0,2148028.0080002043,0,0.0,0.0
50,31652809.281164687,15229765.736924239,0.0,2148028.0080002043,0,0.0,0.0
51,31191930.300272968,14949610.390072076,0.0,2148028.0080002043,0,0.0,0.0
52,30987826.751592353,13991453.670526665,0.0,2148028.0080002043,0,0.0,0.0
53,31665977.252047315,13984831.294144839,0.0,2148028.0080002043,0,0.0,0.0
54,35540353.4121929,18394494.312394932,608604.3123949319,1931968.408811663,0,0.0,0.0
55,41467137.397634216,24377279.336386718,6591389.336386718,6591389.336386718,0,0.0,0.0
56,45117658.05277524,26998822.03789757,9212932.037897568,8941879.165692225,0,0.0,0.0
57,47535177.797998175,29038905.76076721,11253015.76076721,10395738.051681368,0,0.0,0.0
58,48446760.50955413,29979688.09655997,12193798.096559972,11066183.457103254,0,0.0,0.0
59,48854369.06278434,30077912.220942233,12292022.220942233,11136182.552949563,0,0.0,0.0
60,49341583.98544131,30540899.27887403,12755009.278874028,11466128.7412978,0,0.0,0.0
61,48898661.32848044,29847021.21780516,12061131.217805158,10971638.846805187,0,0.0,0.0
62,48848982.16560509,29709540.061121773,11923650.061121773,10873663.357338972,0,0.0,0.0
63,49414606.36942674,30526898.01144066,12741008.01144066,11456150.784587039,0,0.0,0.0
64,52756278.25295722,33944294.02674055,16158404.026740551,13891546.699024761,0,0.0,0.0
65,55161228.57142856,36416603.22351748,18630713.223517478,15653429.632726539,0,0.0,0.0
66,54086243.31210191,35425888.03646943,17639998.03646943,14947399.746782374,0,0.0,0.0
67,51866243.13011828,33361977.711084306,15576087.711084306,13476560.91168539,0,0.0,0.0
68,48273182.71155595,29611648.590652134,11825758.590652134,10803901.3261981,0,0.0,0.0
69,43645239.49044587,25090979.792529818,7305089.792529818,7555736.7312275395,0,0.0,0.0
70,38856886.44222019,20720321.153732926,2934431.1537329257,4320287.268109335,0,0.0,0.0
71,35739668.60782528,18144754.554625884,358864.5546258837,2413683.1933056572,0,0.0,0.0
72,36017991.62875341,19355145.6222417,1569255.6222416982,4472212.553070265,0,0.0,0.0
73,35487082.98453137,19244513.433775503,1458623.4337755032,4385499.755645033,0,0.0,0.0
74,34752070.79162874,19990664.357408393,2204774.357408393,4970328.048266202,0,0.0,0.0
75,34327703.00272975,21058112.197449356,3272222.1974493563,5806986.796490786,0,0.0,0.0
76,34121803.821656056,23657639.35006716,5871749.350067161,7844479.451308998,0,0.0,0.0
77,35535565.059144676,25680189.473903753,7894299.473903753,9429741.223692803,0,0.0,0.0
78,39430890.263876244,30687662.70224856,12901772.702248558,13354566.518045647,0,0.0,0.0
79,45564171.974522285,38680309.30835634,20894419.308356337,19422000.594692986,0,0.0,0.0
