,GB Electricity Demand,Demand - Renewables,Demand - Renewables - Battery,Peak: 72.47 GW,Peak - Renewables: 47.25 GW,Peak - Renewables - Battery: 43.73 GW,Battery Charge/Discharge
24,38516338.85350319,0.0,3384342.33040388,72472400.00000001,47249160.88804497,43727771.03722904,-3384342.33040388
25,38746055.68698819,0.0,3384342.33040388,72472400.00000001,47249160.88804497,43727771.03722904,-3384342.33040388
26,38096036.76069155,0.0,3384342.33040388,72472400.00000001,47249160.88804497,43727771.03722904,-3384342.33040388
27,38060528.48043676,0.0,3384342.33040388,72472400.00000001,47249160.88804497,43727771.03722904,-3384342.33040388
28,37795303.36669699,0.0,3384342.33040388,72472400.00000001,47249160.88804497,43727771.03722904,-3384342.33040388
29,38845333.93994541,1579964.2509244494,4490823.479412739,72472400.00000001,47249160.88804497,43727771.03722904,-2910859.2284882898
30,43244737.39763422,5421114.615875959,7180859.324743127,72472400.00000001,47249160.88804497,43727771.03722904,-1759744.708867168
31,49412308.28025478,12776973.851504508,12286051.698890427,72472400.00000001,47249160.88804497,43727771.03722904,490922.1526140813
32,54151576.70609647,16460513.52120459,14751060.87550721,72472400.00000001,47249160.88804497,43727771.03722904,1709452.6456973813
33,58227782.34758873,18501061.95181349,16116587.259858992,72472400.00000001,47249160.88804497,43727771.03722904,2384474.6919544972
34,60216970.700636975,21668984.938966036,18236547.932030078,72472400.00000001,47249160.88804497,43727771.03722904,3432437.006935958
35,61182216.19654231,21146639.752407506,17886996.741141666,72472400.00000001,47249160.88804497,43727771.03722904,3259643.0112658404
36,62037313.557779826,17941812.652618773,15742339.992788358,72472400.00000001,47249160.88804497,43727771.03722904,2199472.6598304156
37,61787306.278434955,15607074.877616897,14179943.342709104,72472400.00000001,47249160.88804497,43727771.03722904,1427131.5349077936
38,60836553.95814377,14068757.440073587,13150507.815983092,72472400.00000001,47249160.88804497,43727771.03722904,918249.6240904946
39,61281494.44949955,14778570.234538488,13625511.537655637,72472400.00000001,47249160.88804497,43727771.03722904,1153058.6968828514
40,64659129.026387624,21704202.540593594,18260115.402174182,72472400.00000001,47249160.88804497,43727771.03722904,3444087.138419412
41,66847598.54413105,22764525.14894879,18969678.80969483,72472400.00000001,47249160.88804497,43727771.03722904,3794846.3392539583
42,65330163.05732486,21664831.390607327,18233768.395025503,72472400.00000001,47249160.88804497,43727771.03722904,3431062.9955818243
43,61669186.89717926,17183088.258458734,16661462.000257498,72472400.00000001,47249160.88804497,43727771.03722904,521626.2582012359
44,56926295.17743403,11497808.058321334,11497808.058321334,72472400.00000001,47249160.88804497,43727771.03722904,0.0
45,51053660.418562345,5204834.579150341,7029394.00937044,72472400.00000001,47249160.88804497,43727771.03722904,-1824559.4302200982
46,44725215.28662421,619193.5050335862,3817976.1550347307,72472400.00000001,47249160.88804497,43727771.03722904,-3198782.6500011445
47,39925075.52320292,0.0,3384342.33040388,72472400.00000001,47249160.88804497,43727771.03722904,-3384342.33040388
48,39096790.5368517,0.0,3153156.310326859,72472400.00000001,47249160.88804497,43727771.03722904,-3153156.310326859
49,38583732.120109186,0.0,3153156.310326859,72472400.00000001,47249160.88804497,43727771.03722904,-3153156.310326859
50,38322130.30027299,0.0,3153156.310326859,72472400.00000001,47249160.88804497,43727771.03722904,-3153156.310326859
51,37764143.03912648,0.0,3153156.310326859,72472400.00000001,47249160.88804497,43727771.03722904,-3153156.310326859
52,37517034.39490445,0.0,3153156.310326859,72472400.00000001,47249160.88804497,43727771.03722904,-3153156.310326859
53,38338072.7934486,0.0,3153156.310326859,72472400.00000001,47249160.88804497,43727771.03722904,-3153156.310326859
54,43028789.080982715,0.0,2673377.7274137125,72472400.00000001,47249160.88804497,43727771.03722904,-2673377.7274137125
55,50204360.32757053,5320006.4945486635,5320006.4945486635,72472400.00000001,47249160.88804497,43727771.03722904,0.0
56,54624054.23111919,8053479.839208722,7258241.821711124,72472400.00000001,47249160.88804497,43727771.03722904,795238.0174975982
57,57550951.04640584,8473063.07418602,7458963.219782732,72472400.00000001,47249160.88804497,43727771.03722904,1014099.8544032872
58,58654606.36942675,7192201.281622373,6846220.983420997,72472400.00000001,47249160.88804497,43727771.03722904,345980.29820137564
59,59148098.999090105,6357566.251895327,6438838.138813109,72472400.00000001,47249160.88804497,43727771.03722904,-81271.88691778202
60,59737971.24658781,6207093.2395324595,6363080.325602221,72472400.00000001,47249160.88804497,43727771.03722904,-155987.08606976178
61,59201723.74886262,6779053.031444997,6648577.971323702,72472400.00000001,47249160.88804497,43727771.03722904,130475.06012129504
62,59141577.0700637,8844719.517928913,7636757.265806592,72472400.00000001,47249160.88804497,43727771.03722904,1207962.2521223212
63,59826379.6178344,11806432.303602088,9053589.687767006,72472400.00000001,47249160.88804497,43727771.03722904,2752842.615835082
64,63872149.590536855,15842805.290581346,10984521.053813552,72472400.00000001,47249160.88804497,43727771.03722904,4858284.236767793
65,66783828.57142859,18605787.385861784,12306284.133888742,72472400.00000001,47249160.88804497,43727771.03722904,6299503.251973042
66,65482341.40127389,17490944.875423223,11772962.664700408,72472400.00000001,47249160.88804497,43727771.03722904,5717982.210722815
67,62794581.98362148,15349190.793299675,10748384.374024255,72472400.00000001,47249160.88804497,43727771.03722904,4600806.41927542
68,58444455.32302094,10893853.45744577,8617027.674365828,72472400.00000001,47249160.88804497,43727771.03722904,2276825.7830799427
69,52841393.63057324,5452487.344101861,5972844.91389871,72472400.00000001,47249160.88804497,43727771.03722904,-520357.56979684904
70,47044123.38489536,271707.66017470136,3293666.6764309695,72472400.00000001,47249160.88804497,43727771.03722904,-3021959.016256268
71,43270100.45495906,0.0,3153156.310326859,72472400.00000001,47249160.88804497,43727771.03722904,-3153156.310326859
72,43607066.78798908,0.0,4596412.767737844,72472400.00000001,47249160.88804497,43727771.03722904,-4596412.767737844
73,42964294.449499555,0.0,4596412.767737844,72472400.00000001,47249160.88804497,43727771.03722904,-4596412.767737844
74,42074413.466787994,25908.036214016378,4614510.980211775,72472400.00000001,47249160.88804497,43727771.03722904,-4588602.943997758
75,41560630.391264796,1719283.2813794427,5797428.308716927,72472400.00000001,47249160.88804497,43727771.03722904,-4078145.027337484
76,41311347.77070063,5616753.628177144,8520029.352829628,72472400.00000001,47249160.88804497,43727771.03722904,-2903275.724652484
77,43022991.810737036,8198737.417387854,10323689.454095831,72472400.00000001,47249160.88804497,43727771.03722904,-2124952.036707977
78,47739071.155595995,14617995.12190929,14766325.257989077,72472400.00000001,47249160.88804497,43727771.03722904,-148330.13607978635
79,55164649.68152866,24767237.498167545,21477657.971481938,72472400.00000001,47249160.88804497,43727771.03722904,3289579.5266856067
80,58749536.66969974,28264998.586939313,23766836.71418122,72472400.00000001,47249160.88804497,43727771.03722904,4498161.872758094
81,60443064.2402184,28482928.247413456,23909465.079441078,72472400.00000001,47249160.88804497,43727771.03722904,4573463.167972378
82,60645968.69881713,28353054.365074202,23824466.555203028,72472400.00000001,47249160.88804497,43727771.03722904,4528587.809871174
83,61324973.976342134,26418919.9714223,22558634.147814047,72472400.00000001,47249160.88804497,43727771.03722904,3860285.823608253
84,61613388.17106461,18803874.451814294,17574817.390250638,72472400.00000001,47249160.88804497,43727771.03722904,1229057.0615636557
85,61533675.705186546,14682793.876277514,14853165.579440424,72472400.00000001,47249160.88804497,43727771.03722904,-170371.70316291042
86,60770610.009099185,14793845.752313472,14930741.526591526,72472400.00000001,47249160.88804497,43727771.03722904,-136895.774278054
87,61197434.03093721,16327388.141322032,15954032.072247298,72472400.00000001,47249160.88804497,43727771.03722904,373356.0690747332
88,65033777.61601457,19884772.44225256,18282232.402293812,72472400.00000001,47249160.88804497,43727771.03722904,1602540.039958749
89,67892556.50591448,22212106.76046428,19805402.25672078,72472400.00000001,47249160.88804497,43727771.03722904,2406704.5037434995
90,66751218.92629665,21396447.586527705,19271578.020337913,72472400.00000001,47249160.88804497,43727771.03722904,2124869.566189792
91,64075054.0491356,19369878.73160567,17945250.056373686,72472400.00000001,47249160.88804497,43727771.03722904,1424628.6752319857
92,59816234.39490446,15503754.996971756,15414989.113629656,72472400.00000001,47249160.88804497,43727771.03722904,88765.88334210031
93,54477673.15741584,10300619.167960078,11791971.426635077,72472400.00000001,47249160.88804497,43727771.03722904,-1491352.2586749997
94,48860842.948134676,7571447.560306285,9885492.401165118,72472400.00000001,47249160.88804497,43727771.03722904,-2314044.840858834
95,44619415.10464059,5972874.282130253,8768799.549395585,72472400.00000001,47249160.88804497,43727771.03722904,-2795925.267265333
96,44621589.080982715,9121210.587995604,13960495.73306602,72472400.00000001,47249160.88804497,43727771.03722904,-4839285.145070417
97,43996208.553230226,11534877.261389632,15669016.874803495,72472400.00000001,47249160.88804497,43727771.03722904,-4134139.613413863
98,42702692.62966333,12004390.433837347,16001363.17195114,72472400.00000001,47249160.88804497,43727771.03722904,-3996972.7381137926
99,41697590.90081894,11321435.511875287,15517931.49686194,72472400.00000001,47249160.88804497,43727771.03722904,-4196495.984986654
100,41085978.889899924,12603427.985362787,16425393.686502963,72472400.00000001,47249160.88804497,43727771.03722904,-3821965.7011401765
101,42554137.57961784,14038338.712725803,16172026.412142029,72472400.00000001,47249160.88804497,43727771.03722904,-2133687.699416226
102,47644865.51410374,18359199.1584045,18359199.1584045,72472400.00000001,47249160.88804497,43727771.03722904,0.0
103,55475528.298453145,25833073.173418507,25783376.430033676,72472400.00000001,47249160.88804497,43727771.03722904,49696.743384830654
104,59818408.37124659,32212478.940909676,30007285.687810663,72472400.00000001,47249160.88804497,43727771.03722904,2205193.253099013
105,62382251.13739765,34113450.41184136,31266160.986480977,72472400.00000001,47249160.88804497,43727771.03722904,2847289.4253603853
106,63643157.41583258,31753611.270441458,29703410.966625225,72472400.00000001,47249160.88804497,43727771.03722904,2050200.3038162328
107,64564923.38489537,30277224.884071976,28725707.523141794,72472400.00000001,47249160.88804497,43727771.03722904,1551517.360930182
108,64695361.96542313,29990670.779385492,28535943.557906922,72472400.00000001,47249160.88804497,43727771.03722904,1454727.2214785703
109,63559096.99727024,29780801.929312058,28396962.665580146,72472400.00000001,47249160.88804497,43727771.03722904,1383839.2637319118
110,62825742.311192006,29826359.468928315,28427132.114289973,72472400.00000001,47249160.88804497,43727771.03722904,1399227.3546383418
111,62624287.17015468,31645328.75976889,29631703.326585326,72472400.00000001,47249160.88804497,43727771.03722904,2013625.433183562
112,65669303.36669702,34595240.969759166,31585215.870665032,72472400.00000001,47249160.88804497,43727771.03722904,3010025.099094134
113,68246914.64968154,36985213.487436675,33167921.036424585,72472400.00000001,47249160.88804497,43727771.03722904,3817292.45101209
114,67145433.30300273,35470999.16118041,32165166.896572903,72472400.00000001,47249160.88804497,43727771.03722904,3305832.264607504
115,64501878.07097362,33166516.14770724,30639075.21859265,72472400.00000001,47249160.88804497,43727771.03722904,2527440.9291145876
