,Nuclear,Biomass,CCGT,OCGT,Coal
1880,8219070.0,4692160.0,24823944.85,5814060.401110145,0.0
1881,8219070.0,4692160.0,24823944.85,6804320.0,336861.5015596058
1882,8219070.0,4692160.0,24823944.85,6804320.0,1157257.5484753018
1883,8219070.0,4692160.0,24823944.85,6804320.0,3528905.004207261
1884,8219070.0,4692160.0,24823944.85,6804320.0,1886549.4974162914
1885,8219070.0,4692160.0,24823944.85,6804320.0,2138944.0413389765
1886,8219070.0,4692160.0,24823944.85,6804320.0,1719294.9838377761
1887,8219070.0,4692160.0,24823944.85,6804320.0,1747022.6381268166
1888,8219070.0,4692160.0,24823944.85,6804320.0,3002420.0465523447
1889,8219070.0,4692160.0,24823944.85,6804320.0,3668976.782449651
1890,8219070.0,4692160.0,24823944.85,6804320.0,5223343.348905887
1891,8219070.0,4692160.0,24823944.85,6804320.0,5564386.7081748
1892,8219070.0,4692160.0,24823944.85,6804320.0,3691854.5854221093
1893,8219070.0,4692160.0,24823944.85,6804320.0,323803.97974348627
1894,8219070.0,4692160.0,24823944.85,2349129.735136645,0.0
1895,8219070.0,4692160.0,23233669.888280086,0.0,0.0
1896,8219070.0,4692160.0,22756006.721838567,0.0,0.0
1897,8219070.0,4692160.0,23326160.649510976,0.0,0.0
1898,8219070.0,4692160.0,22964503.407422137,0.0,0.0
1899,8219070.0,4692160.0,22310719.873950858,0.0,0.0
1900,8219070.0,4692160.0,21781902.044974245,0.0,0.0
1901,8219070.0,4692160.0,22691087.523040827,0.0,0.0
1902,8219070.0,4692160.0,24823944.85,1344980.3388283248,0.0
1903,8219070.0,4692160.0,24823944.85,6177112.481069147,0.0
1904,8219070.0,4692160.0,24823944.85,6351174.868093993,0.0
1905,8219070.0,4692160.0,24823944.85,6479991.02140471,0.0
1906,8219070.0,4692160.0,24823944.85,5527301.23942824,0.0
1907,8219070.0,4692160.0,24823944.85,6105197.60304794,0.0
1908,8219070.0,4692160.0,24823944.85,5091297.879706185,0.0
1909,8219070.0,4692160.0,24823944.85,3733578.8035885403,0.0
1910,8219070.0,4692160.0,24823944.85,1119011.1859821766,0.0
1911,8219070.0,4692160.0,24823944.85,222212.55956255156,0.0
1912,8219070.0,4692160.0,24823944.85,1285473.649406875,0.0
1913,8219070.0,4692160.0,24823944.85,3317039.282538199,0.0
1914,8219070.0,4692160.0,24823944.85,4805758.555137293,0.0
1915,8219070.0,4692160.0,24823944.85,4306935.221607805,0.0
1916,8219070.0,4692160.0,24823944.85,982081.0215401347,0.0
1917,8219070.0,4692160.0,21332999.095763203,0.0,0.0
1918,8219070.0,4692160.0,16698966.70110821,0.0,0.0
1919,8219070.0,4692160.0,13741866.174270943,0.0,0.0
1920,8219070.0,4692160.0,12077294.57807267,0.0,0.0
1921,8219070.0,4692160.0,12388987.832123833,0.0,0.0
1922,8219070.0,4692160.0,11996119.147867553,0.0,0.0
1923,8219070.0,4692160.0,10862867.328228489,0.0,0.0
1924,8219070.0,4692160.0,10715321.64792243,0.0,0.0
1925,8219070.0,4692160.0,13726903.573532708,0.0,0.0
1926,8219070.0,4692160.0,19057221.538607214,0.0,0.0
