,Year,Wind Onshore,Wind Offshore,Solar,Hydro,Hydrogen,Biomass,BECCS,Nuclear,CCGT,Coal,OCGT
29,2039,15395324657.443531,71706311426.0213,33460710806.590183,4253128553.5,93822454895.81473,29254671969.43733,55187096999.602165,165917.02500000005,77974284078.3963,0.0,159118312.02385938
30,2040,15395324657.443531,83286279660.54152,33460710806.590183,4413382078.5,96732327090.57411,31714425767.875355,54607320800.6805,153198.90000000005,68874569712.80588,0.0,167437025.24971092
31,2041,15395324657.443531,83286279660.54152,33460710806.590183,4573635603.5,96916974185.2822,35357783441.26661,54617635663.75484,153271.575,69528434864.98315,0.0,86328965.82218304
32,2042,15395324657.443531,79426290249.03477,33460710806.590183,4733889128.5,97416710845.4637,39495127795.908585,54797572498.296455,157438.27500000005,72893517843.69864,0.0,42348359.47598462
33,2043,15395324657.443531,89351977307.19496,33460710806.590183,4894142653.5,96663958656.55049,41924553859.72931,54368716808.06529,148571.92500000002,67279121973.577545,0.0,41058043.03612171
34,2044,15395324657.443531,89351977307.19496,33460710806.590183,4910168006.0,93161016890.56708,45869431748.679726,47523562059.21874,156614.625,75551465086.22316,0.0,91684987.58209474
35,2045,15395324657.443531,79426290249.03477,33460710806.590183,5070421531.0,93949725819.77036,50808366092.02381,31867683056.54357,0.0,94599598959.91333,0.0,231125972.0624612
36,2046,15395324657.443531,89351977307.19496,33460710806.590183,5230675056.0,93375790888.57816,53058540299.64627,31632831033.157192,0.0,87473275398.79326,0.0,206978266.2241712
37,2047,15395324657.443531,89351977307.19496,33460710806.590183,5368493087.5,89742810037.75272,56985902878.33334,31674317595.242096,0.0,89676997267.03195,0.0,237352815.64292544
38,2048,15728196541.928799,85640879416.14977,33460710806.590183,5640924080.0,90021018477.51654,61086813547.51068,31726094096.955612,0.0,91007987462.51187,0.0,238923970.6319397
39,2049,16393940310.899334,90774670467.24477,33460710806.590183,5801177605.0,89707953891.67401,63665472026.73081,15011273927.158813,0.0,99470263577.27211,0.0,417531037.15939707
40,2050,17309337993.233818,95908461518.33977,33460710806.590183,5621693657.0,85622065031.91345,66516219856.17625,14966447203.218857,0.0,97338401657.28308,0.0,430879243.3185324
