,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2,Curtailement,Loss of load
1508,48398374.52229299,38171029.15273247,25035579.15273247,25035579.15273247,0.0,0.0,0.0
1509,44492649.863512285,35047637.20982938,21912187.209829383,21912187.209829383,0.0,0.0,0.0
1510,40347619.65423113,30715118.865571927,17579668.865571927,17579668.865571927,0.0,0.0,0.0
1511,37099398.72611465,27168111.373484388,14032661.373484388,14032661.373484388,0.0,0.0,0.0
1512,37534606.36942674,27707047.762756348,14571597.762756348,14571597.762756348,0.0,0.0,0.0
1513,37939314.2857143,28201240.208597194,15065790.208597194,15065790.208597194,0.0,0.0,0.0
1514,37101158.32575068,27631426.967430294,14495976.967430294,14495976.967430294,0.0,0.0,0.0
1515,36691758.14376707,27330522.647439435,14195072.647439435,14195072.647439435,0.0,0.0,0.0
1516,36705248.40764332,27212036.514918987,14076586.514918987,14076586.514918987,0.0,0.0,0.0
1517,38003246.405823484,28693465.547910325,15558015.547910325,15558015.547910325,0.0,0.0,0.0
1518,42743607.82529572,33621136.38545416,20485686.385454163,20485686.385454163,0.0,0.0,0.0
1519,49000744.13102821,39940613.85346061,26805163.85346061,26805163.85346061,0.0,0.0,0.0
1520,51460664.422202,42675638.49847173,29540188.49847173,29540188.49847173,0.0,0.0,0.0
1521,52724056.960873544,44435573.25331929,31300123.253319293,31300123.253319293,0.0,0.0,0.0
1522,53030227.29754322,44777975.06835071,31642525.06835071,31642525.06835071,0.0,0.0,0.0
1523,53303551.77434032,44973626.96326546,31838176.963265464,31838176.963265464,0.0,0.0,0.0
1524,53623798.90809827,45322041.46644144,32186591.466441438,32186591.466441438,0.0,0.0,0.0
1525,53633183.43949044,45647124.80067242,32511674.80067242,32511674.80067242,0.0,0.0,0.0
1526,52641355.77797998,44929162.25431287,31793712.254312873,31793712.254312873,0.0,0.0,0.0
