,Capacity_kW,Derated_Capacity_kW,Capacity_Margin_%,Derated_Capacity_Margin_%,Peak_Demand_kW,Emissions_kgCO2,Carbon_Intensity_Target_gCO2/kWh,Carbon_Price_£/tCO2,Generation_kWh,Capacity_Auction_Estimated_Peak_Demand_kW,Capacity_Auction_Estimated_DeRated_Capacity_kW
2033,106904700.0,64858918.0,0.7536601329704778,0.06394292079021142,60960900.0,8237700303.019304,23.50943436422028,76.6272833072,350399766127.7853,70087000.0,64867900.0
2034,109413100.0,67421234.0,0.7629644548999388,0.08635290515935677,62062000.0,7155889613.9037285,20.083728325793874,87.9486683175,356302848645.5524,70632000.0,67938460.0
2035,112254100.0,70045764.0,0.7828610181551358,0.11249265837501132,62962900.0,5709316673.731128,15.807358528693156,99.2700533279,361180943885.5775,71286000.00000001,69095420.0
2036,106210000.0,71442660.0,0.6656812575179922,0.1204283942117537,63763700.0,6441950984.115305,17.64262805283984,99.2700533279,365135566244.53,72267000.0,67716320.0
2037,95146000.0,70484500.0,0.4782418203880101,0.09508687269184936,64364300.0,17970494514.57553,48.75898941103767,99.2700533279,368557567161.298,73139000.0,68954180.0
2038,96040000.0,71316320.0,0.48061814728481395,0.09946103279436613,64864800.0,18654644141.698067,50.2247291484388,99.2700533279,371423489145.4449,74120000.0,70083640.0
2039,100792000.0,75158980.0,0.5396224570536498,0.148071805869971,65465400.0,14498622383.69383,38.67716479776635,99.2700533279,374862595526.4213,74883000.0,72150640.0
2040,102584000.0,76485640.0,0.5457242606563873,0.1524770855087597,66366300.0,13300944713.63351,35.0005283525719,99.2700533279,380021255097.8858,75646000.0,69475040.0
2041,103936000.0,77705500.0,0.5474242597938574,0.15689824333639535,67167100.0,13481921522.934671,35.053784715056295,99.2700533279,384606730272.5209,76300000.0,70270040.0
2042,103728000.0,77539960.0,0.5238878768290532,0.13915437503672798,68068000.0,10729000047.793129,27.52681568799044,99.2700533279,389765389843.9855,76954000.0,70571360.0
2043,105770000.0,78434120.0,0.5380543764823241,0.14054969775493792,68768700.0,9310154709.781097,23.6431752431473,99.2700533279,393777680621.7912,77499000.0,71041660.0
2044,107745000.0,79489320.0,0.5509706431896634,0.14423501570475633,69469400.0,8308482843.431911,20.88660710625529,99.2700533279,397789971399.597,78044000.0,68944310.0
2045,106395000.0,78325820.0,0.5184101612673041,0.11782246325103468,70070000.0,12057767229.379803,30.052077222513848,99.2700533279,401229077780.57324,78480000.0,68729970.0
2046,106395000.0,77973020.0,0.50550582561914,0.10333038066749115,70670600.0,13815349540.731483,34.13994497579822,99.2700533279,404668184161.5495,78916000.0,70094510.0
2047,106948000.0,78387540.0,0.5026885912961863,0.10139565076273938,71171100.0,12372921883.647701,30.360457436718903,109.19705866069,407534106145.6965,78916000.0,70941470.0
2048,107433000.0,78689940.0,0.49896193192282606,0.0979235847950934,71671599.99999999,11201918145.154823,27.29512031517388,120.11676452675901,410400028129.8435,78916000.0,73147000.0
2049,105998000.0,76604790.0,0.4707237207237207,0.06289252414252414,72072000.0,16790870028.311779,40.686126395099926,132.1284409794349,412692765717.1611,78916000.0,74303960.0
2050,105702000.0,76298650.0,0.45851386182877896,0.05279596094513222,72472400.0,15247569019.695053,36.74241364645399,145.34128507737842,414985503304.47864,78916000.0,76323560.0
