,Wind Offshore,Wind Onshore,Solar,Hydro
81,1714984.60275,5449208.896421051,11229.23076923077,955182.0
82,1459962.3323750002,6872351.659105257,41017.88461538462,915884.0
83,1766522.1152499998,8199448.800631585,60481.88461538461,691324.0
84,3133157.9234375004,8530976.504368415,71742.30769230769,686512.0
85,3810161.9005625,8656387.552421061,81723.84615384616,614332.0
86,3883136.3425000003,8641964.596736858,55647.07692307692,603906.0
87,4017891.8138125,8600999.66810525,16906.23076923077,639194.0
88,4097843.015625,8935158.078000002,31.192307692307693,1176534.0
89,4157649.7976250006,9190767.246157905,0.0,1320894.0
90,4141065.887,8883599.55015791,0.0,1165306.0
91,4081532.498125,8416145.50294737,0.0,955182.0
92,4082558.5948749995,7648033.515157891,0.0,744256.0
93,4112155.4365625,6624208.456105256,0.0,680096.0
94,3661212.6725625005,5091306.368210522,0.0,546964.0
95,3191390.0773750003,4459470.079263159,0.0,550172.0
96,2619599.4085000004,4108742.888684208,0.0,534934.0
97,2062241.5698750003,4125015.018473679,0.0,473982.0
98,1754898.835625,3726432.165789481,0.0,441902.0
99,1698729.3455625,3656643.9134210534,0.0,435486.0
100,1339480.3089375002,3817516.0372105204,0.0,425862.0
101,1334366.694125,3849861.5256315744,0.0,474784.0
102,1468363.6449375,3874140.2178947343,0.0,519696.0
103,1513430.4656875,4004631.977210523,0.0,599896.0
104,1099127.6156249999,3901683.5758421,1809.1538461538462,701750.0
105,917031.507125,3990821.8992631612,31161.11538461538,893428.0
106,1164437.7430625,4033888.9834736795,78916.53846153847,895834.0
107,1298914.5860624998,3957509.6602105275,117595.0,753078.0
108,1312752.9316874999,4174634.021684207,127576.53846153848,586262.0
109,1433162.2441874996,4366022.035736835,94294.34615384616,571024.0
110,1528271.6405625,4593727.949684215,65628.61538461539,604708.0
111,1546811.1845625,5022094.853368428,13724.615384615383,854932.0
112,1555325.9261875,5228196.450631573,311.9230769230769,1446808.0
113,1557927.814375,5771508.799736847,311.9230769230769,1497334.0
114,1634772.8049375003,6716442.790894726,124.76923076923077,1319290.0
115,1624151.772875,8074986.4331052555,0.0,795584.0
116,1242255.3151249997,8933101.097684203,0.0,718592.0
117,914782.1215625,9795264.971684203,0.0,616738.0
118,673227.0801874999,11107234.423421057,0.0,586262.0
119,544211.701125,11595250.744578933,0.0,619144.0
120,475652.84899999993,12381539.752421057,0.0,510072.0
121,680677.3336875002,12622861.49068421,0.0,438694.0
122,797491.23575,12728155.99405263,0.0,397792.0
123,850255.5271875,14560720.660894746,0.0,393782.0
124,1106741.3233125,15614076.789473696,0.0,400198.0
125,1513591.0114375001,15733792.742684187,0.0,475586.0
126,1595319.8502500001,15657970.580999983,0.0,475586.0
127,1637477.0701249999,15746110.531105245,0.0,575836.0
128,1967317.1501249997,15244245.73302634,4476.096153846154,984856.0
129,2276418.3256875006,15477918.54631578,28634.53846153846,1092324.0
130,2503039.703875,14617600.834736839,79540.38461538464,1111572.0
131,2816045.747625,13191232.558263145,111356.53846153848,736236.0
132,2697785.7704375,12752787.053368403,110108.84615384616,627966.0
133,3378300.231625,12363871.706999976,99721.80769230769,508468.0
134,3620745.8365625,11618433.183789471,57549.80769230768,507666.0
135,3694784.766625,11269534.085526314,15190.653846153848,548568.0
136,3645439.6343125002,10404524.169947356,374.30769230769226,850922.0
137,3725351.2813750003,9283876.475210518,62.38461538461539,1076284.0
138,3687080.897375,9484258.884157887,31.192307692307693,1053026.0
139,3732177.9658749998,9012940.84610526,0.0,695334.0
140,3534386.1835625004,8571807.413052619,0.0,605510.0
141,3291488.6074375,7678701.495473687,0.0,546964.0
142,3274271.2391250003,6867121.869473689,0.0,475586.0
143,3278105.1414375,6387005.195999995,0.0,494834.0
144,3198219.088625,6193433.710894725,0.0,473982.0
145,3173725.3913749997,5964437.290263159,0.0,380148.0
146,3131707.7764999997,5652124.131789474,0.0,371326.0
147,1660062.2506875,4446635.786999992,0.0,361702.0
148,3239407.2171249995,5225874.442105265,0.0,352880.0
149,3281311.4029375,5262205.894578948,0.0,348870.0
150,3285174.9713125005,5543397.814263155,0.0,381752.0
151,3141523.7530624997,5602033.8,0.0,417040.0
152,3023306.8207499995,5399007.132315785,7267.8076923076915,553380.0
153,2968970.2279999997,5313038.606526319,75984.46153846153,759494.0
154,2910689.2123125,5427759.681473686,167814.61538461538,761900.0
155,2816012.0097500007,5390062.430210529,229263.46153846156,590272.0
156,2904517.5079374993,5697457.508368423,260143.84615384613,514884.0
157,2942141.6371249994,5789072.942052634,203217.88461538462,491626.0
158,2949287.6680624993,5904813.472105256,161888.07692307694,496438.0
