,CCGT,OCGT,Coal,Nuclear,Biomass,BECCS,Hydrogen,Net Demand,Curtail,Gen generation
249,23019700.0,1696480.0,1446041.1947216517,8219070.0,105600.0,0,0,0.0,0.0,0.0
250,23019700.0,1696480.0,1469998.1930435824,8219070.0,105600.0,0,0,0.0,0.0,0.0
251,23019700.0,1696480.0,1521727.943426716,8219070.0,105600.0,0,0,0.0,0.0,0.0
252,23019700.0,1696480.0,1553051.6495177993,8219070.0,105600.0,0,0,0.0,0.0,0.0
253,23019700.0,1696480.0,1533921.1784113974,8219070.0,105600.0,0,0,0.0,0.0,0.0
254,23019700.0,1696480.0,1517161.5813948764,8219070.0,105600.0,0,0,0.0,0.0,0.0
255,23019700.0,1696480.0,1496519.7118550658,8219070.0,105600.0,0,0,0.0,0.0,0.0
256,23019700.0,1696480.0,1608087.9383238878,8219070.0,105600.0,0,0,0.0,0.0,0.0
257,23019700.0,1696480.0,1640298.1938328438,8219070.0,105600.0,0,0,0.0,0.0,0.0
258,23019700.0,1696480.0,1602836.685206523,8219070.0,105600.0,0,0,0.0,0.0,0.0
259,23019700.0,1696480.0,1553687.6538569184,8219070.0,105600.0,0,0,0.0,0.0,0.0
260,23019700.0,1696480.0,1361091.8417661767,8219070.0,105600.0,0,0,0.0,0.0,0.0
261,23019700.0,1696480.0,977784.4103225197,8219070.0,105600.0,0,0,0.0,0.0,0.0
262,23019700.0,1696480.0,538708.9410752291,8219070.0,105600.0,0,0,0.0,0.0,0.0
263,23019700.0,1696480.0,138308.29125455755,8219070.0,105600.0,0,0,0.0,0.0,0.0
264,23019700.0,1696480.0,84741.8565843825,8219070.0,105600.0,0,0,0.0,0.0,0.0
265,23019700.0,1696480.0,100747.09530286826,8219070.0,105600.0,0,0,0.0,0.0,0.0
266,23019700.0,1696480.0,8747.650608009699,8219070.0,105600.0,0,0,0.0,0.0,0.0
267,23019700.0,428269.0727239698,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
268,21682658.037661843,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
269,22192546.60132844,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
270,23019700.0,1696480.0,113279.0183793999,8219070.0,105600.0,0,0,0.0,0.0,0.0
271,23019700.0,1696480.0,567359.9731149386,8219070.0,105600.0,0,0,0.0,0.0,0.0
272,23019700.0,1696480.0,644429.7253942651,8219070.0,105600.0,0,0,0.0,0.0,0.0
273,23019700.0,1696480.0,605715.8815730716,8219070.0,105600.0,0,0,0.0,0.0,0.0
274,23019700.0,1696480.0,593458.2754127681,8219070.0,105600.0,0,0,0.0,0.0,0.0
275,23019700.0,1696480.0,557688.2496289277,8219070.0,105600.0,0,0,0.0,0.0,0.0
276,23019700.0,1696480.0,529921.9746015993,8219070.0,105600.0,0,0,0.0,0.0,0.0
277,23019700.0,1696480.0,481396.36008371797,8219070.0,105600.0,0,0,0.0,0.0,0.0
278,23019700.0,1696480.0,393683.0240855613,8219070.0,105600.0,0,0,0.0,0.0,0.0
279,23019700.0,1696480.0,368414.69894439523,8219070.0,105600.0,0,0,0.0,0.0,0.0
280,23019700.0,1696480.0,500265.4270714809,8219070.0,105600.0,0,0,0.0,0.0,0.0
281,23019700.0,1696480.0,605858.3325559938,8219070.0,105600.0,0,0,0.0,0.0,0.0
282,23019700.0,1696480.0,376773.09602652024,8219070.0,105600.0,0,0,0.0,0.0,0.0
283,23019700.0,1696480.0,188607.32304888,8219070.0,105600.0,0,0,0.0,0.0,0.0
284,23019700.0,1038073.2657006755,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
285,19898592.88651099,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
286,14581863.820634022,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
287,10561415.025165182,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
288,9442706.573659081,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
289,9204931.89887064,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
290,8571330.669226885,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
291,8052577.381461032,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
